-425.347927,-3405.666352,-3557.287071,-3560.931572,-3560.987326,-3560.993043,-3560.994301,-3560.994629,-3560.994716,-3560.994739,-3560.994745
-431.074728,-3348.878767,-3520.225045,-3524.501029,-3524.826769,-3524.851624,-3524.853340,-3524.853467,-3524.853477,-3524.853478,-3524.853478
-443.899916,-3431.427146,-3595.446487,-3595.655565,-3595.662591,-3595.663230,-3595.663300,-3595.663309,-3595.663310,-3595.663310,-3595.663310
-434.999205,-3537.052498,-3723.411263,-3723.798648,-3723.798981,-3723.798980,-3723.798980,-3723.798980,-3723.798980,-3723.798980,-3723.798980
-433.090418,-3424.198557,-3605.580147,-3606.360340,-3606.356579,-3606.356377,-3606.356363,-3606.356363,-3606.356363,-3606.356363,-3606.356363
-405.359545,-3355.733368,-3518.682239,-3525.843526,-3527.026672,-3527.205789,-3527.229000,-3527.231943,-3527.232315,-3527.232363,-3527.232368
-402.193094,-3559.741328,-3760.980990,-3761.406246,-3761.398189,-3761.393943,-3761.392717,-3761.392378,-3761.392284,-3761.392258,-3761.392251
-438.726126,-3419.931755,-3571.757237,-3573.782348,-3573.885386,-3573.890539,-3573.890813,-3573.890829,-3573.890831,-3573.890831,-3573.890831
-448.347159,-3578.368193,-3763.313083,-3766.139668,-3766.199661,-3766.201433,-3766.201490,-3766.201491,-3766.201491,-3766.201491,-3766.201491
-416.275131,-3442.487868,-3604.897825,-3606.871374,-3606.970238,-3606.982311,-3606.984868,-3606.985509,-3606.985675,-3606.985719,-3606.985730
-405.789648,-3461.043559,-3644.401750,-3644.909676,-3644.971591,-3644.990161,-3644.995409,-3644.996870,-3644.997276,-3644.997388,-3644.997420
-374.376475,-3493.686434,-3671.049549,-3673.238631,-3673.310224,-3673.317384,-3673.318340,-3673.318483,-3673.318505,-3673.318509,-3673.318509
-397.257627,-3338.785257,-3526.891562,-3534.439507,-3534.658986,-3534.662921,-3534.661735,-3534.661306,-3534.661182,-3534.661147,-3534.661137
-438.713513,-3352.140040,-3520.977843,-3526.788256,-3527.574174,-3527.667302,-3527.677800,-3527.678986,-3527.679121,-3527.679137,-3527.679138
-435.997745,-3568.337444,-3763.446473,-3764.865190,-3764.884347,-3764.884913,-3764.884930,-3764.884931,-3764.884931,-3764.884931,-3764.884931
-448.559065,-3404.667354,-3606.138170,-3606.958809,-3606.991316,-3606.997274,-3606.998673,-3606.999027,-3606.999119,-3606.999144,-3606.999150
-424.464998,-3344.596697,-3538.503338,-3539.958527,-3540.012714,-3540.015124,-3540.015958,-3540.016289,-3540.016399,-3540.016433,-3540.016443
-404.058428,-3391.221059,-3591.952791,-3594.308972,-3594.363453,-3594.365074,-3594.365126,-3594.365128,-3594.365128,-3594.365128,-3594.365128
-442.056622,-3407.988485,-3594.017086,-3604.653333,-3607.039055,-3607.372247,-3607.411084,-3607.415584,-3607.416116,-3607.416181,-3607.416189
-403.905330,-3457.207816,-3648.530431,-3651.130837,-3651.351565,-3651.380195,-3651.384706,-3651.385639,-3651.385881,-3651.385952,-3651.385974
